strategy,mandate_id,steps,recovered
SmartHeuristic,57061b9d-aba3-454d-9d14-4cb2359b5382,3,False
SmartHeuristic,4da24d6a-bed8-4212-a1a7-e75b200cda83,3,False
SmartHeuristic,bdb49c4f-9cae-4eb4-8c5b-1d31228645ec,2,True
SmartHeuristic,76bb3f0e-94c5-4f2b-b262-5fa19cd0e49e,2,True
SmartHeuristic,e44e7e48-cfef-4316-af38-617bb1ace9cd,3,True
SmartHeuristic,f3ab3d88-5e2d-4469-9bcb-58b5b6ee9c66,3,False
SmartHeuristic,c7e7b2eb-c954-409d-a871-95ff4763856f,3,False
SmartHeuristic,5c446e05-cffc-4e37-bf20-07fb2b1db123,3,False
SmartHeuristic,df4b6b02-a501-4d16-8a6d-a08265a3de69,3,False
SmartHeuristic,11b29796-a6c2-4c68-a8d0-81f3f7bd9961,3,False
SmartHeuristic,5148b2ff-dd61-4433-97d6-ae490eb0c0b7,2,True
SmartHeuristic,2ecd6d56-42b1-4e33-8b24-f958bd21ba91,3,False
SmartHeuristic,8ae1ae41-f604-4513-a188-456be151ed9b,3,False
SmartHeuristic,86147b4f-da58-4879-9f6f-2643dc75f89d,3,False
SmartHeuristic,1c591511-bba2-4814-b4a2-44749218bccb,3,False
SmartHeuristic,cc1b796e-8acf-40c3-9883-c7564e5a4499,2,True
SmartHeuristic,b7dd3bce-6235-4f39-9695-ff8f6669bddb,3,False
SmartHeuristic,525e2d73-3a2f-4e72-9d5d-7686880f5185,3,False
SmartHeuristic,7d71aae5-240b-4e2d-a945-31f890f8bdb2,3,True
SmartHeuristic,34c05061-dd08-4b4c-bf2c-fae161799df7,2,True
SmartHeuristic,d9f99f8f-d6ca-4a68-8a16-f781adf26b13,3,False
SmartHeuristic,0b19f21c-46f0-40ae-90c4-e434ab81a2a2,3,False
SmartHeuristic,3b6114a2-4e58-46f2-8c2c-ad0f10c3b05b,3,False
SmartHeuristic,09053892-d244-4919-a4e6-c19b2a60bb07,3,False
SmartHeuristic,d6978709-468f-4dc7-b6cc-1a1f7d5bd55d,3,False
SmartHeuristic,bae53371-bee4-494c-87f2-dd0e124bd38c,2,True
SmartHeuristic,7ae731e6-691b-4dcb-8140-cf6a8ab0d4d8,3,False
SmartHeuristic,7373d85b-3822-4941-a5ea-f8432025b403,2,True
SmartHeuristic,40270e62-703b-4b0e-a304-bea5b27c48b6,3,False
SmartHeuristic,f796c207-c368-4be0-8f1d-12273ee4f356,3,True
SmartHeuristic,85258cfb-add4-4aad-ac00-a4ca733aa65e,3,False
SmartHeuristic,47181b69-40f9-4a51-ae89-155d5f55d8e6,2,True
SmartHeuristic,bd6b205d-20c0-4eb0-bd00-5d04a947763f,3,False
SmartHeuristic,6ec68e1c-ddd3-4c4a-9de1-9a8185241ce9,3,False
